Genre,Popularity,Length,Release
alternative rock,53,251588,2022
uk hip hop,69,182741,2018
grime,51,160000,2021
alternative rock,48,203533,2002
alternative rock,68,290213,2007
alternative rock,49,264207,2022
alternative rock,59,319933,2006
garage rock,91,161123,2013
alternative rock,46,180680,2011
acoustic rock,42,374800,2004
alternative rock,55,176160,2003
uk hip hop,64,248946,2019
alternative rock,62,341986,2022
alternative rock,60,225200,1999
alternative rock,57,301626,2006
alternative rock,45,228733,2006
alternative rock,54,196133,2001
alternative rock,58,259333,2006
baroque pop,0,186546,2008
alternative rock,63,244400,1991
garage rock,82,193030,2013
alternative rock,51,292400,1999
alternative rock,69,282400,2011
alternative rock,36,174533,2002
alternative rock,52,202933,2016
art pop,86,294573,2009
uk hip hop,61,213586,2019
alternative rock,49,259026,2006
alternative rock,78,248893,2007
garage rock,14,202133,2006
alternative rock,73,238733,1999
alternative rock,49,213200,2006
pop,38,215213,2015
acoustic rock,25,186973,2005
alternative rock,56,185560,2003
alternative rock,46,355397,2022
alternative rock,69,247666,2006
modern rock,85,203346,2008
garage rock,0,172253,2007
baroque pop,0,148266,2008
alternative rock,62,211520,2016
dance pop,83,210960,2011
gauze pop,72,320654,2016
phoenix indie,55,236586,2017
alternative rock,52,253373,1999
new jersey rap,63,186986,2015
alternative rock,57,339533,2006
alternative rock,76,267186,1997
alternative rock,60,230342,2022
indie rock,36,211200,2009
alternative rock,82,282160,2006
alternative rock,85,229120,1997
alternative rock,48,222080,2011
grunge,81,281160,1993
pop,76,210863,2019
alternative rock,64,258813,1997
grunge,78,261093,1994
alternative rock,69,351786,2020
alternative rock,59,208306,2001
alternative rock,86,215906,1999
alternative rock,49,224866,2006
pop,70,231386,2021
pop,76,225066,2012
alternative rock,51,172160,2013
alternative rock,66,269360,1999
alternative rock,52,265773,2006
alternative rock,46,245626,2003
alternative rock,47,306434,2022
alternative dance,66,251293,2002
alternative rock,68,275666,2020
alternative rock,47,240217,2022
alternative rock,79,216933,2002
afrobeats,81,245866,2014
dance pop,84,206413,2012
modern rock,77,261266,2004
alternative rock,67,311866,2002
indie rock,41,294413,2009
alternative rock,50,205733,2006
permanent wave,89,242373,2008
canadian contemporary r&b,76,188918,2022
alternative rock,75,231933,2002
uk hip hop,55,323000,2021
alternative rock,55,240333,2006
barbadian pop,77,225146,2012
alternative rock,50,264800,2006
garage rock,8,224826,2009
uk hip hop,60,280005,2021
alternative metal,55,252106,2006
chicago rap,74,357653,2010
acoustic rock,27,192600,2005
conscious hip hop,74,222497,2022
afroswing,60,205106,2017
alternative rock,55,288226,1999
alternative rock,49,222737,2022
garage rock,85,201726,2013
canadian hip hop,83,242965,2021
garage rock,8,331200,2006
acoustic rock,23,234200,2004
alternative metal,80,318586,1994
alternative rock,33,256226,2013
pop,19,194773,2015
garage rock,79,257563,2013
alternative rock,65,224426,2001
alternative rock,82,200306,2001
alternative rock,63,285200,1997
atl hip hop,85,235213,2003
modern alternative rock,93,240400,2013
alternative rock,56,222360,2013
brooklyn drill,63,215000,2021
alternative rock,50,266326,2022
alternative rock,63,268733,2016
alternative rock,39,286200,2006
modern rock,84,214506,2015
acoustic rock,53,195213,2004
alternative rock,80,257480,1995
alternative rock,83,334666,2006
pop,83,231013,2014
electro,79,337560,2013
new jersey rap,78,222093,2015
art pop,71,265427,2012
rap,92,221520,2022
alternative rock,54,291346,2022
indietronica,72,256266,2019
alternative rock,72,299560,1997
east coast hip hop,86,276920,2009
alternative rock,65,235946,2020
alternative rock,49,201893,2013
uk hip hop,65,251733,2021
alternative rock,76,302000,2016
alternative rock,53,333547,2022
alternative rock,65,151333,2001
baroque pop,55,161333,2008
uk hip hop,73,127750,2021
alternative rock,72,222093,2020
uk hip hop,55,189321,2019
acoustic rock,44,120760,2004
afroswing,60,214386,2017
alternative rock,51,240200,1999
alternative rock,63,277160,2002
alternative rock,53,245893,2006
uk hip hop,63,273666,2021
alternative rock,47,230706,2011
alternative rock,73,255386,2007
alternative rock,60,264724,2016
alternative rock,55,202960,2001
alternative rock,58,241840,2006
alternative rock,52,220905,2022
alternative rock,63,201266,2003
alternative rock,55,260792,2022
alternative rock,64,256959,2002
permanent wave,92,266773,2000
grime,45,219000,2021
garage rock,60,187133,2007
alternative rock,59,231333,1999
grime,38,220438,2021
australian pop,81,196373,2018
canadian hip hop,89,218364,2022
lgbtq+ hip hop,86,234093,2012
alternative rock,67,309800,2006
garage rock,6,197973,2009
uk hip hop,19,203557,2020
alternative rock,47,255973,2002
alternative rock,33,224440,2012
permanent wave,85,258266,2015
alternative rock,61,277533,2006
alternative rock,34,261453,2013
brooklyn drill,69,153561,2020
k-pop,1,164441,2021
alternative rock,59,243224,2022
alternative rock,52,224760,2002
alternative rock,73,204773,2013
alternative metal,80,293960,2002
alternative rock,54,367026,2002
alternative rock,87,269000,2002
alternative rock,67,232412,2022
detroit hip hop,58,250188,2013
alternative rock,72,289533,2003
alternative rock,61,250386,2016
alternative metal,67,334906,2002
alternative rock,41,186148,2022
alternative rock,87,264306,1991
garage rock,15,175440,2006
alternative rock,57,205266,2006
aussie drill,52,190937,2021
acoustic rock,40,245746,2001
alternative rock,61,194573,2006
alternative rock,60,187306,2003
alternative rock,81,212439,2006
alternative rock,67,206173,2006
alternative rock,61,192826,2002
acoustic rock,39,228533,2004
acoustic rock,25,123466,2005
uk hip hop,64,240160,2019
alternative rock,77,240213,2006
brooklyn indie,82,278640,2014
afroswing,53,192440,2017
alternative rock,53,231733,2006
alternative rock,32,238360,2012
alternative rock,86,329733,1999
barbadian pop,86,275986,2008
alternative rock,38,157920,2006
g funk,77,281600,1997
modern alternative rock,47,253826,2018
modern rock,68,174506,2015
fort worth indie,57,245240,2019
acoustic rock,30,370373,2009
alternative rock,47,318421,2022
alternative rock,57,234733,2001
chicago rap,90,135920,2016
motown,70,266133,1972
garage rock,64,160640,2007
alternative rock,47,139386,2012
alternative rock,60,208000,2011
modern alternative rock,46,265489,2020
alternative rock,57,215365,2022
alternative rock,58,208133,2006
uk hip hop,65,210904,2017
alternative rock,54,254866,2016
alternative rock,52,331424,2022
modern alternative rock,53,326706,2018
pop,73,219466,2012
afroswing,53,233173,2017
alternative rock,31,216720,2012
alternative rock,60,221092,2022
alternative rock,46,237489,2022
alternative rock,49,254301,2022
alternative rock,75,189226,2006
alternative rock,48,172400,2006
alternative rock,50,365533,2006
album rock,35,266759,2021
pop,87,189960,2014
alternative rock,59,255240,2011
alternative rock,51,295573,2002
alternative rock,54,188800,2001
alternative rock,23,257693,2014
alternative rock,50,268996,2022
alternative rock,48,217967,2022
alternative rock,51,262333,2006
alternative rock,76,318186,2007
uk hip hop,63,204373,2021
permanent wave,67,311291,2005
uk hip hop,32,163866,2021
alternative rock,64,199360,2003
alternative rock,62,314773,2006
alternative rock,64,254866,2001
grime,41,200000,2021
grime,46,165000,2021
alternative rock,64,293360,2020
dance pop,84,178560,2012
