Name,Artist,Popularity,Length,Release,Date_Added
Titanium (feat. Sia), David Guetta, 61, 4.08, 2011, 2023-12
Hysteria, Muse, 49, 3.79, 2004, 2023-12
Tippa My Tongue, Red Hot Chili Peppers, 59, 4.35, 2022, 2023-12
Peace and Love, Red Hot Chili Peppers, 59, 4.05, 2022, 2023-12
Reach Out, Red Hot Chili Peppers, 52, 4.19, 2022, 2023-12
Eddie, Red Hot Chili Peppers, 62, 5.7, 2022, 2023-12
Fake as Fu@k, Red Hot Chili Peppers, 58, 4.37, 2022, 2023-12
Bella, Red Hot Chili Peppers, 53, 4.86, 2022, 2023-12
Roulette, Red Hot Chili Peppers, 50, 4.95, 2022, 2023-12
My Cigarette, Red Hot Chili Peppers, 48, 4.4, 2022, 2023-12
Afterlife, Red Hot Chili Peppers, 49, 4.24, 2022, 2023-12
Shoot Me a Smile, Red Hot Chili Peppers, 48, 3.71, 2022, 2023-12
Handful, Red Hot Chili Peppers, 47, 4.0, 2022, 2023-12
The Drummer, Red Hot Chili Peppers, 58, 3.38, 2022, 2023-12
Bag of Grins, Red Hot Chili Peppers, 47, 5.11, 2022, 2023-12
La La La La La La La La, Red Hot Chili Peppers, 46, 3.96, 2022, 2023-12
Carry Me Home, Red Hot Chili Peppers, 50, 4.22, 2022, 2023-12
In the Snow, Red Hot Chili Peppers, 46, 5.92, 2022, 2023-12
Diamonds, Rihanna, 78, 3.75, 2012, 2023-12
Be Alright, Dean Lewis, 81, 3.27, 2018, 2023-12
Easily, Red Hot Chili Peppers, 59, 3.86, 1999, 2023-12
This Velvet Glove, Red Hot Chili Peppers, 60, 3.75, 1999, 2023-12
Princess Cuts (feat. Young T & Bugsey), Headie One, 60, 3.08, 2020, 2023-12
Starlight, Muse, 77, 4.0, 2006, 2023-12
Supermassive Black Hole, Muse, 82, 3.54, 2006, 2023-12
Aladdin, Not3s, 54, 3.89, 2017, 2023-12
My Lover, Not3s, 54, 3.21, 2017, 2023-12
Mardy Bum, Arctic Monkeys, 5, 2.92, 2006, 2023-12
When The Sun Goes Down, Arctic Monkeys, 5, 3.37, 2006, 2023-12
A Certain Romance, Arctic Monkeys, 2, 5.52, 2006, 2023-12
Neon Roses, The Technicolors, 55, 3.94, 2017, 2023-12
Abra Interlude, Abra Cadabra, 38, 1.69, 2021, 2023-12
Mixed Emotions, Abra Cadabra, 58, 3.01, 2021, 2023-12
Toxic, Britney Spears, 86, 3.31, 2003, 2023-12
Space Song, Beach House, 83, 5.34, 2015, 2023-12
Titanium, Dave, 73, 2.13, 2021, 2023-12
Mercury, Dave, 56, 5.38, 2021, 2023-12
Viva La Vida, Coldplay, 90, 4.04, 2008, 2023-12
The Past Recedes, John Frusciante, 40, 3.89, 2005, 2023-12
Anne, John Frusciante, 31, 3.6, 2005, 2023-12
The Real, John Frusciante, 26, 3.12, 2005, 2023-12
